nataid,natarms,natchld,natcity,natcrime,natdrug,nateduc,natenrgy,natenvir,natfare,natheal,natmass,natpark,natrace,natroad,natsci,natsoc,eqwlth,health,helpsick,helppoor,year
NA,NA,Too little,NA,NA,NA,NA,NA,NA,NA,NA,About right,Too little,NA,Too little,Too little,Too little,1,NA,Yes,Both,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,About right,Too little,About right,Too little,About right,1,Good,Yes,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,About right,Too little,3,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,5,Good,Somewhat,Somewhat,2018
About right,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,2,NA,Both,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,Too little,1,NA,Yes,Yes,2018
NA,Too much,Too little,About right,NA,Too little,Too little,NA,Too little,Too little,Too little,Too little,NA,Too little,Too little,Too little,Too little,1,NA,Somewhat,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,About right,2,NA,Yes,Somewhat,2018
Too much,Too much,About right,About right,About right,Too little,Too little,Too little,Too little,About right,Too little,About right,About right,Too little,About right,About right,About right,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,About right,4,NA,Yes,Both,2018
Too much,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,About right,Too little,Too little,About right,3,Fair,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,About right,Too much,Too little,3,Excellent,Both,Both,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too much,NA,NA,About right,NA,NA,NA,Good,NA,NA,2018
Too much,Too little,Too little,NA,Too little,Too little,Too little,Too much,Too little,Too much,Too little,Too much,Too little,NA,Too little,Too much,Too little,2,Good,NA,Somewhat,2018
Too much,Too little,Too little,Too much,Too little,About right,Too little,About right,Too little,Too much,Too little,Too much,Too little,About right,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,1,Good,Yes,Both,2018
About right,Too little,Too much,About right,About right,Too little,Too little,About right,Too little,About right,Too little,About right,About right,About right,About right,About right,About right,2,Good,Both,Somewhat,2018
Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,NA,Good,NA,NA,2018
About right,About right,Too little,About right,Too little,Too much,Too little,Too little,Too little,About right,About right,About right,About right,Too little,About right,About right,About right,3,NA,Somewhat,Somewhat,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too much,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,Too much,Too little,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,1,Excellent,Yes,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,Too little,Too little,About right,NA,Good,NA,NA,2018
NA,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,Too little,1,Good,Yes,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,About right,Too much,1,NA,Yes,Yes,2018
Too little,Too much,Too little,Too little,About right,Too little,About right,About right,Too little,Too much,Too little,Too little,About right,Too little,Too little,About right,Too much,NA,Excellent,NA,NA,2018
About right,Too much,Too little,Too little,About right,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,4,NA,Somewhat,Somewhat,2018
About right,Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,Too little,Too little,Too little,4,Fair,Yes,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,1,NA,Yes,Both,2018
About right,Too little,Too little,NA,Too little,Too little,About right,About right,Too much,Too much,Too little,Too little,About right,About right,About right,NA,Too little,1,NA,Both,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too much,Too little,Too little,NA,Fair,NA,NA,2018
Too much,Too much,Too little,Too little,Too little,Too little,Too much,NA,Too little,Too little,Too much,Too little,NA,Too little,Too much,Too little,NA,6,Excellent,NA,Both,2018
NA,NA,NA,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,NA,NA,1,NA,Both,Both,2018
About right,Too much,Too little,Too little,Too little,Too little,About right,About right,Too little,Too little,Too little,About right,About right,NA,About right,Too much,Too much,NA,Good,NA,NA,2018
Too much,Too little,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,NA,About right,About right,Too much,Too little,Too much,Too little,7,Good,NA,NA,2018
NA,NA,NA,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,NA,1,NA,Yes,Somewhat,2018
Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too much,About right,Too little,Too little,NA,NA,Fair,NA,NA,2018
Too little,Too much,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,Too little,About right,About right,Too little,About right,Too much,About right,3,NA,Somewhat,Both,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,Too little,Too little,Too little,3,NA,Somewhat,Both,2018
Too much,About right,Too little,About right,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,About right,About right,About right,About right,NA,Fair,NA,NA,2018
Too much,Too much,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,NA,Too little,About right,Too little,3,NA,Yes,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too much,About right,Too little,2,NA,Yes,Both,2018
Too little,Too much,Too little,Too little,NA,Too little,Too little,About right,Too little,Too much,Too little,Too little,About right,Too little,Too little,About right,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,Too little,NA,Too little,Too little,About right,2,NA,Yes,Yes,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,Too little,NA,About right,About right,Too little,3,Good,Somewhat,Somewhat,2018
Too much,About right,About right,Too little,About right,About right,Too little,About right,About right,Too little,Too little,About right,Too little,Too little,Too little,About right,Too little,6,Good,Yes,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,About right,Too little,4,NA,Both,Yes,2018
NA,NA,About right,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,About right,NA,About right,4,Fair,Both,Somewhat,2018
NA,NA,Too much,NA,NA,NA,NA,About right,NA,NA,NA,Too much,About right,NA,Too much,About right,About right,5,NA,Both,Yes,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,Too little,NA,About right,About right,About right,1,Good,Yes,Yes,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,About right,Too little,Too little,NA,Fair,NA,NA,2018
About right,About right,Too little,Too little,Too little,Too little,About right,About right,About right,About right,About right,NA,About right,Too little,About right,About right,About right,NA,Fair,NA,NA,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too much,Too little,NA,Too much,Too little,About right,3,NA,Yes,Both,2018
Too little,Too much,Too much,About right,Too little,About right,Too much,About right,Too little,About right,Too much,Too much,About right,Too little,About right,About right,About right,NA,Fair,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,About right,About right,1,Excellent,Somewhat,Both,2018
Too little,Too much,Too little,About right,Too little,Too little,About right,About right,Too little,About right,Too little,About right,Too little,Too little,Too much,Too little,About right,1,NA,Yes,Somewhat,2018
NA,NA,Too little,NA,NA,NA,NA,NA,NA,NA,NA,NA,About right,NA,About right,Too little,Too little,NA,Good,NA,NA,2018
Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too much,Too little,Too little,About right,Too little,Too little,Too little,About right,6,Fair,Yes,Both,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,About right,About right,About right,About right,Too little,NA,Good,NA,NA,2018
Too little,Too much,Too little,NA,Too much,Too little,Too little,About right,Too little,NA,Too little,About right,About right,NA,Too little,Too little,About right,4,NA,Both,Both,2018
About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,5,Fair,Yes,No,2018
Too much,Too much,NA,NA,Too much,NA,Too little,Too much,Too much,Too much,Too much,Too little,Too little,Too much,Too much,Too little,Too much,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,Too little,About right,NA,About right,Too little,About right,5,Poor,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,About right,Too little,Too little,NA,Good,NA,NA,2018
NA,About right,Too little,Too little,About right,Too little,Too little,About right,Too little,Too little,About right,About right,Too little,NA,About right,About right,About right,2,Fair,Somewhat,Both,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,Too little,NA,Too little,NA,Too little,1,NA,Both,Both,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too little,About right,Too little,4,Good,Both,Both,2018
Too much,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,About right,Too little,Too little,Too much,About right,Too little,4,NA,Somewhat,Both,2018
Too much,Too much,NA,NA,NA,Too little,Too little,Too little,Too little,NA,Too little,About right,About right,Too little,Too little,About right,NA,4,Excellent,Somewhat,Both,2018
NA,NA,About right,NA,NA,NA,NA,Too much,NA,NA,NA,About right,About right,NA,Too little,About right,About right,3,NA,Yes,Both,2018
About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too little,NA,Good,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,About right,NA,NA,NA,About right,About right,NA,Too much,About right,Too little,7,Good,No,Both,2018
About right,Too much,NA,NA,Too little,NA,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,About right,Too little,2,NA,Yes,Both,2018
NA,NA,About right,NA,NA,NA,NA,About right,NA,NA,NA,Too little,About right,NA,Too little,About right,Too little,NA,Good,NA,NA,2018
About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,About right,NA,NA,NA,NA,2018
NA,NA,Too little,NA,NA,NA,NA,Too little,NA,NA,NA,About right,About right,NA,Too little,Too little,Too little,1,NA,Yes,Yes,2018
About right,Too much,Too little,About right,About right,Too little,Too little,Too little,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,Too much,NA,Fair,NA,NA,2018
